Australia,Austria,Belgium,Canada,Denmark,Finland,France,Germany,Italy,Japan,Netherlands,New Zealand,Norway,Spain,Sweden,Switzerland,UK,USA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,393
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,297
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454
NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,429
NA,NA,NA,23,NA,NA,0,8,NA,NA,NA,NA,0,NA,NA,NA,NA,461
0,NA,NA,33,0,0,0,1,NA,NA,NA,NA,0,0,NA,NA,NA,380
0,0,NA,19,0,0,0,1,NA,NA,NA,NA,0,1,NA,NA,NA,301
0,0,NA,17,0,0,0,1,2,NA,NA,NA,0,0,NA,NA,NA,414
1,0,NA,13,0,0,7,0,0,NA,NA,NA,0,0,0,NA,NA,440
0,1,NA,35,0,0,4,0,NA,NA,NA,NA,1,0,0,NA,NA,570
6,0,NA,16,1,0,3,1,11,NA,NA,NA,1,0,1,NA,NA,415
0,0,NA,27,0,0,5,2,12,NA,NA,NA,1,1,1,NA,NA,444
0,0,NA,15,0,0,0,2,13,NA,NA,NA,1,0,0,NA,NA,437
0,0,NA,30,0,0,3,3,2,NA,NA,NA,0,0,1,NA,NA,359
0,0,NA,37,0,0,2,5,5,14,NA,0.001,0,1,0,NA,NA,NA
1,1,NA,20,NA,0,2,1,1,6,NA,NA,0,7,0,NA,NA,NA
0,1,NA,43,NA,0,1,3,3,21,NA,0.001,0,1,1,NA,NA,NA
0,0,NA,44,NA,0,1,2,5,11,NA,NA,0,1,0,NA,NA,NA
0,0,NA,40,NA,0,2,1,2,13,NA,NA,0,2,0,5,NA,1961
NA,1,NA,45,NA,0,2,4,1,7,NA,NA,0,5,0,0,NA,1503
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1387
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2317
NA,NA,NA,NA,NA,NA,116,628,NA,NA,NA,NA,9,NA,NA,NA,NA,3297
NA,NA,NA,545,NA,NA,87,747,NA,NA,NA,NA,12,NA,NA,NA,NA,3661
143,NA,NA,474,25,3,105,716,NA,NA,NA,NA,8,827,NA,NA,NA,3129
78,43,NA,414,16,5,122,726,NA,NA,NA,NA,30,1161,NA,NA,60,4805
81,26,NA,406,22,4,157,751,564,NA,NA,NA,11,1928,NA,NA,0,7081
84,60,NA,455,38,16,184,930,717,NA,92,23,17,6668,42,NA,126,7327
111,51,NA,625,34,11,273,1017,1256,NA,142,23,24,15976,61,NA,92,5645
127,82,NA,845,56,11,429,1437,3907,NA,167,89,36,35405,77,NA,NA,5353
209,103,NA,1783,26,23,386,1065,5694,NA,154,118,40,21391,84,NA,NA,5780
383,88,NA,1648,26,9,314,818,4631,NA,116,112,32,25609,52,NA,NA,4399
387,74,NA,1169,26,10,269,767,2746,NA,89,184,36,24659,65,NA,NA,NA
267,50,NA,894,26,13,377,885,1927,453,114,288,32,24191,62,NA,NA,NA
174,82,NA,624,42,13,344,944,1806,488,105,356,54,21462,64,NA,NA,NA
175,78,114,542,28,17,364,911,1937,505,162,508,38,17146,84,NA,NA,NA
161,73,109,492,26,16,469,896,1434,377,129,519,36,9240,75,NA,NA,2093
205,99,113,445,22,14,387,921,1195,370,130,423,38,7567,67,239,NA,1144
128,101,127,300,39,18,353,988,942,319,135,493,52,6274,74,262,NA,1250
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1253
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1762
NA,NA,NA,NA,NA,NA,60,4340,NA,NA,NA,NA,1,NA,NA,NA,NA,1800
NA,NA,NA,81,NA,NA,80,4542,NA,NA,NA,NA,2,NA,NA,NA,NA,1287
35,NA,NA,104,41,8,149,3135,NA,NA,NA,NA,7,68,NA,NA,NA,1833
37,40,NA,85,49,6,241,2344,NA,NA,NA,NA,1,94,NA,NA,NA,2591
28,121,NA,102,39,10,202,3277,26,NA,NA,NA,13,322,NA,NA,NA,6317
24,119,NA,100,40,5,304,0,30,NA,83,NA,18,939,92,NA,NA,4351
28,366,NA,85,50,8,316,0,NA,NA,58,NA,43,719,86,NA,NA,3586
21,648,NA,133,13,12,320,1595,32,NA,46,5,28,803,103,NA,NA,3442
39,423,NA,154,30,3,429,1315,45,NA,58,6,21,852,80,NA,NA,2979
34,585,NA,159,18,8,639,1083,33,NA,46,NA,21,1609,88,NA,NA,NA
8,452,NA,233,16,7,1061,849,49,NA,39,4,13,1788,117,NA,NA,NA
25,307,NA,210,18,13,959,670,73,62,45,NA,17,2020,300,NA,NA,NA
27,341,NA,190,13,7,925,595,95,51,66,0.007,17,1990,140,NA,NA,NA
30,275,177,210,21,7,1189,610,135,140,69,6,16,1376,97,NA,NA,NA
52,241,228,268,18,19,1456,802,109,71,72,NA,0,845,177,NA,NA,NA
25,194,283,235,18,6,1409,920,131,65,105,1,0,706,174,56,NA,NA
26,172,269,230,31,9,1494,1060,139,71,111,NA,0,828,217,81,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1450
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,738
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1036
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1152
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,746
NA,NA,NA,NA,NA,NA,2,706,NA,NA,NA,NA,1,NA,NA,NA,NA,969
NA,NA,NA,25,NA,NA,6,1461,NA,NA,NA,NA,1,NA,NA,NA,NA,1523
2,NA,NA,50,6,7,13,1785,NA,NA,NA,NA,24,1,NA,NA,NA,2371
7,15,NA,63,9,4,19,2128,NA,NA,NA,NA,5,16,NA,NA,NA,1166
5,19,NA,50,8,4,7,3415,1,NA,NA,NA,23,29,NA,NA,NA,1071
16,39,NA,78,14,5,73,0,10,NA,NA,2,21,47,15,NA,NA,834
7,29,NA,115,39,12,94,0,NA,NA,NA,6,31,34,33,NA,NA,781
10,108,NA,179,22,5,135,2732,47,NA,NA,6,41,17,33,NA,NA,NA
7,95,NA,176,22,11,252,2342,23,NA,NA,0.004,26,28,81,NA,NA,NA
23,162,NA,266,28,28,304,2394,31,NA,NA,2,23,31,133,NA,NA,NA
24,129,NA,354,18,21,506,1199,57,NA,NA,NA,47,37,213,NA,NA,NA
16,68,NA,258,13,7,344,891,44,107,NA,3,35,56,892,NA,NA,641
16,93,NA,217,11,9,344,738,39,71,NA,5,40,56,155,NA,NA,602
16,125,23,127,19,12,439,831,34,79,NA,2,58,75,114,NA,NA,398
19,142,28,153,16,8,410,1193,38,83,50,1,37,50,176,NA,NA,766
13,89,48,215,18,6,350,1081,42,91,67,4,53,53,228,75,NA,924
21,108,33,145,13,20,390,1350,41,64,68,2,62,61,250,109,NA,808
