Australia,Austria,Belgium,Canada,Denmark,Finlad,France,Germany,Italy,Japan,Netherlands,New Zealand,Norway,Spain,Sweden,Switzerland,UK,USA
1.02,0.05,0.08,0.8,11.84,0.26,4.54,4.86,NA,52.65,NA,0.02,1.15,1.09,NA,0.16,0.6,1.4
0.52,0.07,0.25,0.14,1.56,0.53,2.7,2.83,NA,778.84,0.18,NA,0.26,0.61,2.77,0.1,1.56,1.5
0.99,0.05,0.11,0.11,6.2,0.16,4.49,6.39,NA,91.23,NA,0.02,2.5,0.3,0.59,NA,10.75,3.43
1.59,0.08,NA,0.4,1.98,0.08,3.92,9.17,NA,26.11,NA,0.02,NA,NA,NA,0.41,20.75,4.14
1.51,0.07,NA,0.11,4,0.28,2.17,10.69,NA,38.62,NA,0.03,0.42,NA,0.29,0.08,22.15,56.84
0.94,0.11,NA,0.03,NA,0.32,6.31,9.99,NA,36.23,0.05,0.02,1.09,0.12,0.84,0.01,5.35,41.31
2.35,0.09,NA,0.09,NA,0.56,7.01,10.55,NA,27.42,0.19,NA,0.03,0.1,1.24,NA,4.85,23.04
3.13,0.14,NA,NA,NA,0.37,7.71,9.72,0.07,114.93,0.01,NA,0.38,0.23,0.68,NA,7.75,8.49
6.08,0.03,NA,NA,1.35,NA,0.01,0.08,NA,6.84,NA,0.04,9.25,NA,NA,NA,1.79,NA
4.32,0,NA,0.07,NA,NA,NA,3.02,NA,22.84,NA,0.06,2.71,NA,NA,NA,2,NA
8.6,NA,NA,0.04,4.73,NA,NA,0.12,NA,6.22,NA,NA,NA,NA,NA,NA,1.98,NA
4.49,NA,0.01,0.16,2.01,1.41,NA,0.05,NA,22.13,NA,0.29,3.71,NA,NA,NA,1.06,NA
9.71,NA,0.03,0.27,NA,NA,NA,0.03,NA,2.08,NA,NA,NA,NA,NA,NA,0.6,NA
4.44,NA,0.03,0.17,NA,NA,NA,0.04,NA,26.12,NA,0.22,NA,NA,NA,NA,0.63,NA
1.35,NA,0.03,0.29,4.62,NA,NA,0.01,0.19,6.18,1.46,0.26,NA,NA,NA,NA,0.72,NA
3.14,NA,0.02,0.27,5.53,NA,NA,NA,0.09,11.66,NA,0.27,0.05,NA,NA,NA,0.74,0.41
3.24,NA,6.01,0.34,0.08,NA,0.02,0.01,NA,8.69,NA,0.12,0.02,NA,NA,NA,0.53,0.08
3.84,NA,NA,0.32,NA,NA,0.02,0.01,NA,7.38,NA,0.08,NA,0.07,NA,NA,0.57,NA
2.96,NA,NA,0.39,5.08,0.04,0.03,0.01,NA,3.57,NA,0.06,0.26,NA,NA,NA,0.45,NA
1.75,NA,NA,0.2,0.85,NA,0.05,0.01,NA,3.8,NA,0.08,0.25,NA,NA,NA,0.42,NA
1.51,NA,0.97,0.12,NA,0.04,0.28,0.62,NA,23.62,NA,1.14,3.72,NA,NA,NA,2.05,1.98
3.81,0.01,0.76,6.69,NA,NA,5.43,NA,NA,29.06,NA,0.32,1.3,0.21,NA,0.3,NA,NA
0.84,0.01,0.73,0.23,0.36,0.45,NA,0.01,NA,7.92,4.97,0.85,NA,NA,NA,0.03,0.09,0.15
2.82,NA,NA,0.13,NA,0.14,32.95,0.06,NA,3.57,5.9,0.15,NA,NA,NA,0.01,0.1,0.03
4.76,NA,NA,0.64,19.07,0.03,2.09,0.05,NA,10.12,NA,0.5,0.01,NA,NA,NA,0.44,NA
5.14,NA,NA,0.08,12.06,0.87,0.01,4.04,NA,17.78,NA,0.6,0.03,NA,NA,NA,0.3,1.02
3.65,NA,NA,0.47,9.33,0.03,0.1,0.21,NA,2.38,NA,0.49,0.06,NA,NA,NA,0.29,0.21
NA,1.01,5.92,11.71,36.57,NA,81.95,52.97,5.26,11.15,23.59,NA,12.74,NA,NA,4.92,2.62,50.6
NA,0.07,11.1,16.01,0.17,NA,111.8,29.12,15.8,42.54,25.93,NA,16.35,NA,NA,11.82,2.93,40.3
NA,0.06,4.84,45.85,NA,NA,75.81,68.97,0.9,69.6,33.6,NA,17.51,NA,NA,6.12,2.74,53.27
NA,0.09,15.57,30.65,NA,NA,81.67,47.61,0.05,4.92,31.02,0.04,14.87,NA,NA,9.61,21.86,45.19
NA,0.09,6.65,38.1,NA,NA,62.55,56.17,2.85,45.01,29.49,NA,8.62,0.31,NA,13.19,2.19,47.13
NA,0.06,4.99,32.44,NA,NA,73.83,13.45,0.12,29.68,17.12,NA,8.87,0.36,1.21,2.95,1.89,58.91
NA,0.06,9.04,7.96,NA,NA,67,52.55,0.37,10.96,36.64,0.14,35.75,1.97,0.49,7.75,1.74,55.84
NA,0.07,11.53,26.71,0.58,0.07,82.54,10.79,0.33,25.96,41.61,0.2,4.16,0.12,0.67,8.62,1.51,57.15
NA,0.07,18.12,5.34,NA,0.18,52.92,28.35,0.18,24.5,53.75,0.11,7.27,1.32,7.72,34.24,1.79,50.51
NA,0.07,15.31,61.8,NA,NA,65.49,23.24,1.44,29.83,53.91,NA,17.07,0.7,29.63,15.03,10.07,50.94
NA,0.09,6.34,67.66,NA,0.07,107.71,41.9,0.33,11.76,13.85,0.04,6.35,1.78,10.13,4.02,0.28,59.68
NA,0.14,6.01,57.47,NA,0.62,100.77,40.41,1.83,102.86,27.91,0.05,2.37,1.56,14.41,15.68,0.42,59.88
NA,0.24,35.29,15.61,NA,0.09,82.94,35.65,0.62,22.81,67.56,0.4,13.34,6.18,31.55,18.64,1.46,56.77
NA,0.01,12.64,170.05,15.6,0.26,132.45,25.92,1.73,12.98,144.39,NA,5.01,9.71,66.99,18.94,4.41,61.34
NA,0.03,22.21,14.58,70.09,NA,257.13,59.86,2.83,19.78,48.09,NA,2.37,17.41,28.34,16.67,NA,544.32
NA,0.1,14.19,63.69,3.84,0.03,90.02,11.89,1.79,34.88,22.35,NA,13.1,27.46,9.28,15.84,NA,263.07
NA,0.44,28.15,162.41,102.99,0.18,104,88.03,3.73,51.12,83.04,NA,12.87,24.45,17.13,22.33,0.04,104.91
0.01,3.63,37.59,95.56,2.27,0.73,84.47,73.97,2.56,32.08,100.86,NA,20.23,37.79,20.58,28.58,0.06,155.96
0.8,0.45,34.51,144.96,13.55,1.15,119.35,88.91,1.5,20.71,15.73,NA,4.32,13.87,8.82,32.76,0.01,145.28
NA,0.05,NA,NA,NA,NA,0.18,0.25,52.11,0.57,NA,NA,NA,NA,NA,0.15,0.95,0.02
NA,0.01,0.03,NA,NA,NA,0.18,0.36,10.33,0.1,NA,NA,NA,NA,NA,NA,1.06,0.09
NA,0.03,NA,NA,NA,NA,0.18,0.33,13.01,0.25,NA,NA,NA,NA,NA,NA,0.47,NA
NA,0.05,NA,NA,NA,NA,0.17,0.29,53,0.39,0.02,NA,NA,NA,NA,NA,0.3,NA
NA,0.03,NA,0.09,NA,NA,0.21,0.23,NA,0.27,NA,NA,NA,0.1,NA,NA,0.34,NA
NA,0.05,NA,0.12,NA,NA,0.25,0.22,24.78,0.28,NA,0.04,NA,0.02,NA,NA,0.37,0.01
NA,0.05,NA,0.1,NA,NA,0.2,0.27,0.08,0.44,NA,NA,NA,0.09,NA,NA,0.26,NA
NA,0.04,NA,0.11,NA,NA,0.23,0.17,0.03,0.44,NA,0.02,NA,0.06,NA,0.1,0.26,NA
NA,0.02,NA,0.09,NA,NA,0.21,0.16,0.1,0.23,NA,0.02,NA,0.06,NA,0.12,0.27,6.65
NA,NA,NA,0.11,NA,NA,0.3,0.15,0.09,0.19,NA,NA,NA,0.03,NA,1.66,0.13,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.19,NA,NA,NA,NA,NA,NA,NA,NA,3.87,NA,0.04,NA,NA,NA,NA,NA,0.42
0.24,NA,NA,NA,NA,NA,NA,NA,NA,9.35,NA,0.02,NA,NA,NA,NA,NA,0.6
0.02,NA,NA,NA,NA,NA,NA,NA,NA,8.09,NA,NA,NA,NA,NA,NA,NA,0.56
0.92,NA,NA,NA,NA,NA,NA,NA,NA,9.45,NA,0.01,NA,NA,NA,NA,NA,56.75
2.07,NA,NA,NA,NA,NA,NA,NA,NA,13.94,NA,NA,NA,NA,NA,NA,NA,NA
0.66,NA,NA,NA,NA,NA,NA,NA,NA,3.74,NA,0.05,NA,NA,NA,NA,NA,60.29
1.87,NA,NA,NA,NA,NA,NA,NA,NA,3.09,NA,0.1,NA,NA,NA,NA,NA,63.89
0.82,NA,NA,NA,NA,NA,NA,NA,NA,6.99,NA,0.1,NA,NA,NA,NA,NA,54.08
0.23,NA,NA,NA,NA,NA,NA,0.01,NA,2.17,NA,0.12,NA,NA,NA,NA,NA,53.66
1.3,NA,NA,NA,NA,NA,NA,0.01,NA,3.98,NA,0.21,NA,NA,NA,NA,NA,63.26
0.78,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,0.21,NA,NA,NA,NA,NA,59.2
1.33,NA,0.05,NA,NA,NA,NA,0.01,NA,7.55,NA,0.3,NA,NA,NA,NA,NA,51.96
0.45,NA,NA,NA,NA,NA,0.01,NA,NA,3.96,NA,0.07,0.01,NA,NA,NA,NA,52.53
0.95,NA,NA,NA,NA,NA,NA,NA,NA,2.95,NA,0.04,0.01,NA,NA,NA,NA,58.91
1.18,NA,NA,NA,NA,NA,0.01,NA,NA,2.11,NA,0.01,NA,NA,NA,NA,NA,53.77
0.96,NA,NA,NA,NA,NA,NA,NA,0.06,2.43,NA,0.21,0.05,NA,NA,0.05,NA,51.79
3.15,NA,NA,0.02,NA,NA,NA,0.14,NA,20.06,NA,NA,0.06,NA,NA,NA,NA,53.49
1.72,NA,NA,NA,NA,NA,NA,NA,NA,2.87,NA,0.09,NA,NA,NA,NA,NA,21.93
2.3,NA,NA,0.09,NA,NA,NA,NA,NA,3.97,NA,0.04,NA,NA,NA,NA,0.01,105.03
NA,15.82,0.53,0.7,NA,NA,54.46,13.65,1.81,49.26,0.23,NA,0.2,NA,NA,1.62,0.23,5.6
NA,17.5,0.05,1.35,0.02,NA,44.75,18.45,0.44,56.42,NA,NA,0.25,NA,NA,0.2,0.26,3.31
0.17,2.84,0.05,0.94,NA,NA,41.28,12.53,1.89,57.32,0.02,NA,0.46,NA,NA,12.66,2.35,2.87
NA,0.01,0.01,6.13,NA,NA,39.98,33.77,0.13,28.06,0.03,NA,0.82,NA,NA,0.27,0.84,2.98
NA,0.03,NA,2.73,NA,NA,31.84,8.21,0.47,16.47,0.3,NA,1.26,9.56,NA,0.47,0.62,2.34
NA,0.05,3.88,2.19,NA,NA,26.44,15.33,0.59,57.63,0.96,NA,0.67,5.98,0.37,0.3,1.03,3.06
NA,0.02,1.4,0.1,NA,NA,30.43,5.51,3.66,19.87,NA,NA,2.46,10.4,0.37,0.11,0.46,4.38
0.53,5.93,4.09,0.53,NA,NA,31.36,12.66,0.45,14.19,10.37,NA,0.16,11.27,0.35,0.14,1.5,6.26
NA,0.09,2.25,1.33,NA,0.02,24.13,7.15,1.65,26.22,0.36,NA,0.02,14.58,0.7,0.6,1.62,8.94
NA,16.38,3.25,1.44,NA,NA,23.02,29.71,2.48,22.47,0.04,NA,1.13,32.2,0.57,0.33,28.51,8.25
0.02,0.14,2.02,0.24,NA,0.16,73.38,14.08,2.33,9.42,0.37,NA,0.82,24.83,2.77,0.92,2.15,34.15
NA,0.06,0.51,1.19,NA,0.97,44.53,17.43,1.47,95.32,0.04,NA,0.64,14.77,0.51,0.36,0.58,15.19
NA,0.04,5.15,1.09,NA,NA,31.25,12.73,1.24,17.54,0.05,0.35,1.2,19.1,0.8,0.39,NA,22.51
NA,0.01,3.05,0.84,NA,0.1,65.7,13.22,3.74,15.33,0.31,NA,0.48,14.55,0.82,0.4,1.05,14.46
NA,0.02,1.7,0.16,NA,0.72,31.32,2.99,4.38,17.88,0.34,NA,0.23,40.52,NA,1.34,0.07,12.19
NA,0.01,2.13,0.3,NA,0.03,38.93,3.99,11.85,4.54,NA,NA,0.53,52.4,0.45,1.21,NA,26.35
NA,NA,1.17,1.87,NA,0.01,21.07,2.17,3.66,5.96,NA,NA,0.06,33.48,0.33,0.58,0.91,18.1
NA,NA,0.57,0.11,NA,0.79,64.62,17.76,2.25,14.58,NA,NA,0.64,48.95,1.21,0.41,NA,11.91
0.07,NA,0.37,0.48,NA,NA,95.1,20.91,3.46,15.56,NA,NA,0.61,34.26,1.67,NA,1.57,10.33
4.41,NA,NA,NA,NA,NA,21.2,8.1,NA,0.92,0.02,NA,0.1,NA,0.39,NA,5.41,0.2
1.59,NA,0.44,0.58,NA,NA,42.28,0.58,NA,36.86,NA,NA,NA,NA,0.02,NA,6.07,0.34
8.02,0.01,0.53,0.13,NA,NA,33.84,0.56,0.04,1.7,NA,NA,NA,NA,NA,NA,4.98,0.19
6.56,NA,0.06,0.79,NA,NA,15.92,4.92,NA,3.65,NA,0.01,0.06,NA,NA,NA,3.22,NA
5.97,0.02,0.13,0.25,NA,NA,11.05,1.05,NA,3.31,0.01,NA,0.05,NA,NA,NA,3.8,NA
0.23,0.02,1.54,0.21,NA,NA,10.48,0.5,NA,36.55,0.11,NA,0.05,NA,NA,NA,3.69,NA
0.36,0.03,NA,0.13,NA,NA,12.1,0.43,NA,2.57,NA,NA,0.1,NA,NA,NA,1.07,0.41
0.12,0.02,1.14,0.26,NA,NA,11.05,0.29,0.01,2.43,NA,0.01,NA,NA,NA,NA,1.12,0.4
0.13,0.02,NA,0.21,NA,NA,12.02,0.1,0.01,1.77,0.07,NA,NA,NA,NA,NA,3.66,0.05
0.02,0.02,0.76,0.45,NA,NA,14.04,0.23,NA,8,NA,NA,0.04,NA,NA,NA,0.37,0.69
NA,0.01,0.61,0.15,NA,NA,17.46,0.26,NA,0.59,NA,NA,NA,NA,0.01,NA,0.32,0.41
NA,NA,0.23,0.1,NA,NA,20.62,0.21,0.03,0.33,NA,NA,0.03,NA,0.03,NA,0.18,0.3
0.03,NA,0.26,0.58,NA,NA,19.86,0.45,NA,0.15,NA,NA,0.04,NA,0.06,NA,0.15,0.83
0.13,0.02,NA,0.16,NA,NA,21.34,0.3,NA,0.25,NA,0.03,NA,NA,NA,NA,0.04,0.38
NA,0.02,NA,0.05,NA,NA,56.69,0.44,NA,0.67,NA,0.04,0.05,0.01,NA,NA,0.12,0.71
0.26,0.01,NA,0.04,NA,NA,89.28,2.26,NA,0.25,NA,0.03,1.65,NA,NA,NA,0.62,0.08
0.21,0.01,NA,1.25,NA,NA,197.89,0.43,NA,1.28,NA,0.04,NA,0.02,0.01,NA,24.68,0.47
0.13,0.01,NA,0.03,NA,0.03,212.55,0.4,NA,80.61,NA,0.04,NA,0.03,NA,NA,7.99,0.39
0.88,0.01,NA,NA,NA,NA,23.28,0.47,NA,1.43,NA,0.01,NA,0.03,NA,NA,14.87,0.19
NA,NA,NA,NA,NA,NA,82.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,101.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,106.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,123.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,102.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,104.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,109.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,103.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,116.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,128.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,171.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,213.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.12,NA,NA,207.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,335.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,410.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,496.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,533.97,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,610.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1.7,5.22,6.71,NA,0.19,54.66,21.51,0.52,71.94,0.37,0.14,NA,59.51,0.13,0.07,5.48,40.08
NA,2.69,1.63,8.39,1.88,5.19,25.57,18.39,0.24,35.18,0.22,0.12,0.89,NA,NA,0.77,6.15,4.49
NA,0.89,1.33,6.42,NA,NA,29.98,18.49,0.26,45.08,0.64,NA,0.75,NA,NA,NA,7.15,5.72
NA,0.74,1.02,5.39,NA,0.08,25.82,20.17,0.53,41.56,0.27,0.23,0.82,8.72,NA,0.22,9.03,34.48
NA,0.66,1.35,4.33,NA,0.03,25.13,19,0.17,410.01,NA,NA,0.55,9.82,NA,0.19,8.02,29.15
NA,0.74,1.15,5.05,NA,0.44,29.54,13.81,0.06,65.79,0.51,0.42,2.4,32.59,0.07,0.19,9.83,21.59
0.14,0.61,0.57,3.64,NA,0.11,26.83,17.31,0.26,34.82,0.1,0.27,3.25,NA,0.23,0.09,7.77,25.35
0.07,0.59,1,5.59,NA,0.26,24.67,12.09,0.09,239.96,NA,0.14,0.05,7.11,0.25,0.1,8.56,67.89
0.08,0.35,0.6,3.8,0.14,0.57,20.77,20.8,0.41,27.77,0.19,0.29,0.35,11.38,0.39,0.16,2.04,74.4
NA,0.37,0.75,7.09,NA,0.36,25.18,10.54,0.46,30.51,0.29,0.28,0.77,25.31,1.1,0.09,3.83,120.18
NA,0.29,0.58,2.86,NA,0.62,31.54,22.98,0.06,25.04,0.01,0.51,0.11,11.09,0.66,0.27,0.65,84.06
NA,0.28,0.49,5.52,NA,1.02,32.5,24.66,1.33,21.29,NA,0.17,0.54,10.23,0.52,0.35,0.17,111.84
0.06,0.31,0.67,2.42,NA,0.89,32.4,53.41,0.22,17.35,0.01,0.13,0.74,14.58,0.17,1.17,0.1,196.59
0.09,0.32,0.35,4.19,NA,0.37,37.66,22.34,0.07,14.84,0.06,0.26,NA,15.29,0.4,1.01,NA,270.44
0.05,0.68,0.97,6,NA,0.66,32.71,51.79,0.39,16.06,0.1,0.13,NA,24.9,0.18,1.67,2.2,98.11
0.21,0.64,1.36,2.01,NA,1.34,26.85,54.12,0.43,14.43,0.14,0.07,0.12,14.82,0.02,0.46,6.95,100.51
0.32,0.5,1.01,4.01,NA,0.67,29.38,65.27,0.55,15.86,0.08,0.03,0.02,20.95,0.11,0.22,13.86,502.32
0.44,1.16,1.17,1.05,NA,0.9,271.11,109.95,0.83,14.45,0.13,0.03,16.32,44,0.03,0.26,10.79,663.73
1.18,2.2,0.7,2.36,NA,0.81,445.04,70.03,0.88,13.93,0.11,0.12,0.15,15.97,NA,0.28,6.33,341.79
1.9,NA,NA,NA,NA,NA,NA,NA,NA,16.02,NA,0.08,NA,NA,NA,NA,NA,1.61
1.14,NA,NA,NA,NA,NA,NA,NA,NA,17.85,NA,0.13,NA,NA,NA,NA,NA,2.18
1.26,NA,NA,NA,NA,NA,NA,NA,NA,7.69,NA,NA,NA,NA,NA,NA,NA,1.67
3.61,NA,NA,NA,NA,NA,NA,NA,NA,6.58,0.01,0.12,NA,NA,NA,NA,NA,123.98
5.55,NA,NA,NA,NA,NA,NA,NA,NA,17.06,NA,NA,NA,NA,NA,NA,NA,1.62
0.61,NA,NA,NA,NA,NA,NA,NA,NA,3.51,NA,0.21,NA,NA,NA,NA,NA,118.54
3.47,NA,NA,NA,NA,NA,NA,NA,NA,9.82,NA,0.26,NA,NA,NA,NA,NA,122.7
0.72,NA,NA,NA,NA,NA,NA,0.01,NA,15.77,NA,0.23,NA,NA,NA,NA,NA,107.45
0.65,NA,NA,NA,NA,NA,NA,NA,NA,11.59,NA,0.18,NA,0.08,NA,NA,NA,106.11
2.94,NA,NA,NA,NA,NA,0.01,0.01,NA,4.61,NA,0.12,NA,0.26,NA,NA,NA,126.5
2.35,NA,NA,NA,NA,NA,NA,0.01,NA,8.15,NA,0.42,NA,0.14,NA,NA,NA,124.74
4.28,NA,NA,NA,NA,NA,0.01,0.01,NA,7.7,NA,0.75,NA,NA,NA,NA,NA,94.62
2.23,NA,NA,NA,NA,NA,NA,NA,NA,3.78,NA,0.11,NA,NA,NA,NA,NA,111.5
1.19,NA,NA,NA,NA,NA,NA,NA,NA,10.64,NA,0.19,NA,NA,NA,NA,NA,114.14
2.09,NA,NA,NA,NA,NA,NA,0.09,NA,3.91,NA,0.15,NA,NA,NA,0.07,NA,111.55
3.12,NA,NA,NA,NA,NA,NA,NA,NA,32.69,NA,0.13,NA,NA,NA,NA,NA,87.79
4.71,NA,NA,0.03,NA,NA,NA,NA,NA,12.34,NA,0.12,NA,NA,NA,0.04,NA,117.34
1.49,NA,NA,NA,NA,NA,NA,0.09,NA,3.35,NA,0.07,NA,NA,NA,NA,NA,96.21
1.81,NA,NA,NA,NA,NA,NA,NA,NA,4.36,NA,0.12,NA,NA,NA,0.03,NA,141.57
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.06,NA,NA,NA,NA,NA,1.37,0.01,0.06,0.02,NA,NA,0.02,NA,0.12,1.42,39.94
NA,0.05,NA,0.39,NA,0.03,0.84,1.49,0.29,0.5,6.71,NA,NA,NA,2.56,NA,2.26,37.14
NA,0.05,NA,0.4,NA,0.15,0.82,2.18,0.29,4.96,3.09,NA,NA,0.03,1.29,NA,1.55,78.21
NA,0.33,NA,NA,NA,0.13,1.1,2.61,0.65,4.78,23.26,NA,1.29,0.06,4.49,3.38,1.68,61.82
NA,0.28,0.19,0.06,NA,1.04,1.25,5.82,0.53,10.34,10.95,NA,1.65,0.02,9.67,3.88,3.98,75.36
NA,1.39,0.03,NA,NA,0.1,2.28,3.94,0.5,5,1.85,NA,2.13,0.02,9.58,3.34,4.89,80.05
NA,3.03,0.04,NA,NA,0.06,14.22,4.79,0.63,1.4,NA,NA,4.19,0.04,4.23,4.89,6.99,53.28
NA,4.26,0.05,0.03,NA,0.05,4.16,10.4,0.53,3.51,0.97,NA,2.16,0.01,14.83,5.71,5.54,51.82
NA,8.27,0.3,0.03,NA,0.28,4.46,3.05,NA,3.66,5.34,NA,3.99,0.07,12.7,8.05,3.31,26.45
NA,2.77,0.13,0.04,NA,1.39,6.63,6.51,0.02,6.24,7.35,NA,3.63,0.01,29.05,11.79,3.66,54.67
NA,6.44,0.09,NA,NA,0.98,7.26,10.24,1.05,10.09,9.89,NA,3.75,0.65,8.88,7.06,6.52,27.06
NA,3.4,0.14,0.08,NA,1.45,7.32,8.82,0.8,5.25,9.57,NA,8.22,0.34,5.98,20.28,6.28,22.55
NA,3.71,0.04,NA,0.24,1.14,7.03,11.12,0.8,2.69,1.09,NA,3.94,0.37,23,2.91,2.1,26.66
NA,3.82,0.22,0.16,8.42,1.39,6.44,20.5,1.36,0.94,3.7,NA,6.77,0.06,13.66,5.19,14.31,282.28
NA,7.42,0.01,NA,0.04,1.48,6.97,9.27,0.39,8.33,2.06,NA,5.28,0.04,18.18,16.36,0.29,28.09
2.44,0.11,NA,NA,7.44,NA,0.25,23.79,0.01,112.25,5.16,0.16,NA,NA,2.69,NA,6.14,51.43
0.73,0.06,0.03,0.17,12.69,NA,0.13,17.31,1.25,61.71,0.84,0.09,13.05,NA,1.28,0.02,6.89,5.6
6.66,0.08,0.03,NA,3.19,0.12,0.24,26.79,0.01,220.28,3.37,NA,0.2,NA,NA,NA,2.5,14.32
4.45,0.03,0.03,0.23,13.74,0.28,2.3,13.14,1.29,47.25,0.94,0.51,6.37,NA,NA,0.13,0.85,6.93
11.67,0.03,NA,0.36,1.22,0.06,0.27,14.17,0.02,111.72,4.3,NA,0.6,NA,NA,NA,0.98,14.69
1.88,0.09,0.09,0.66,1.22,0.08,3.79,55.92,NA,95.16,4.74,0.49,5.36,0.02,4.92,NA,1,22.21
