Australia,Austria,Belgium,Canada,Denmark,Finlad,France,Germany,Italy,Japan,Netherlands,New Zealand,Norway,Spain,Sweden,Switzerland,UK,USA
0.08,0.09,0.89,16.77,NA,0.24,6.8,9.07,5.64,21.76,0.67,0.22,0.07,5.94,0.28,0.06,0.05,4.4
0.07,0.12,0.56,12.72,NA,0.03,10.97,11.91,12.1,18.03,NA,0.11,0.19,20.68,0.33,0.04,NA,1.66
NA,0.16,0.55,4.61,NA,0.16,11.83,12.35,118.87,17.71,NA,0.18,0.68,61.4,0.62,0.36,NA,12.8
NA,0.14,0.62,5.69,NA,0.3,14.21,9.85,10.04,15.26,0.01,0.26,0.05,43.76,0.34,0.22,NA,3.66
NA,0.14,0.5,2.59,NA,0.28,12.26,10.57,2.6,13.53,0.29,0.21,NA,16.82,0.97,0.35,NA,1.36
NA,0.11,0.34,2.62,NA,0.5,16.6,9.35,4.73,10.26,NA,0.71,0.03,18.12,NA,0.43,NA,2.75
NA,0.15,0.26,1.34,NA,0.06,16.53,13.14,9.42,17.36,NA,0.16,0.05,28.77,NA,0.37,0.92,12.78
0.06,0.24,0.32,1.27,NA,0.42,13.15,25.12,16.83,8.44,0.29,0.19,0.11,57.28,0.02,0.3,1.01,3.69
0.15,0.3,0.02,1.7,NA,0.52,11.65,22.53,17.83,11.68,0.29,0.08,0.06,19.83,0.94,0.32,1.67,3.41
0.19,0.35,0.06,1.41,NA,0.3,13.13,22.63,5.81,46.03,0.57,0.12,0.11,17.84,0.3,0.44,0.62,5.83
0.33,0.34,0.04,2.25,NA,0.33,10.92,22.86,5.38,10.02,NA,0.14,0.05,12.41,0.12,0.26,1.29,19.05
0.09,0.12,NA,1.06,NA,NA,2.2,1.15,3.24,NA,68.21,NA,NA,NA,NA,0.4,NA,98.51
NA,0.88,NA,0.69,NA,0.47,1.6,17.43,NA,0.04,0.71,NA,0.76,NA,NA,0.27,NA,85.37
NA,0.58,NA,1.32,NA,NA,2.92,11.49,3.6,0.07,14.01,NA,3.4,NA,NA,0.06,2.58,142.97
NA,0.05,NA,NA,NA,0.4,10.51,7.03,0.03,0.01,6.81,NA,3.97,NA,NA,1.19,2.16,120.26
NA,0.06,NA,0.04,0.77,NA,1.47,18.23,NA,7.62,4.13,NA,4.96,0.02,NA,1.98,2.32,154.45
NA,0.19,NA,0.58,NA,0.69,2.32,26.09,0.01,3.97,7.79,NA,5.71,0.02,2.21,2.3,1.87,89.66
NA,0.45,NA,1.47,NA,0.18,1.26,5.99,0.79,52.18,5.21,NA,5.62,0.1,0.02,1.58,1.93,131.59
NA,1.08,NA,1.44,1.35,0.02,1.07,5.97,0.36,8.97,4.18,NA,2.13,0.08,0.29,1.01,4.16,130.75
